,Status,Number_of_Properties,Consent,Minor_Variance,Official_Plan_Rezoning,Site_Plan_Application,lat,lon,Council,Average_Income,Secondary_Plan,Business_Improvement_Area,Site_and_Area_Specific_Policy,Zoning_Category
0,Approved,One Property,0,0,1,0,43.6268538,-79.4996561,Etobicoke York Community Council,64140,0,1,0,Commercial Residential
1,Approved,One Property,0,0,0,1,43.67464718939311,-79.40097299609391,Toronto and East York Community Council,112766,0,0,0,Commercial Residential
2,Approved,One Property,1,0,0,0,43.65209642045411,-79.54708331879647,Etobicoke York Community Council,52787,0,0,0,Residential
3,Approved,One Property,0,1,0,0,43.7536663,-79.3380642,North York Community Council,42516,0,0,0,Residential
4,Approved,One Property,0,0,0,1,43.7351736,-79.3428383,North York Community Council,67757,1,0,0,Residential
5,Approved,One Property,0,1,0,0,43.70431551428571,-79.3845078,North York Community Council,85340,1,0,0,Residential
6,Approved,More Than One Property,0,0,0,1,43.70049994999999,-79.4255358,Toronto and East York Community Council,65274,0,1,0,Commercial Residential
7,Denied,One Property,0,0,1,0,43.7765741,-79.2504714,Scarborough Community Council,30878,1,0,0,Commercial Residential
8,Denied,One Property,0,1,0,0,43.60196513333334,-79.53287882222222,Etobicoke York Community Council,47709,0,0,0,Employment Industrial
9,Denied,One Property,0,1,0,0,43.7057694,-79.38169975,North York Community Council,85340,1,0,0,Residential
11,Denied,One Property,0,1,0,0,43.7047392,-79.5640539,Etobicoke York Community Council,31771,0,0,1,Employment Industrial
12,Denied,One Property,1,1,0,0,43.7446836,-79.385178,North York Community Council,308010,0,0,0,Residential
13,Denied,One Property,0,1,0,0,43.640977,-79.52215013690477,Etobicoke York Community Council,52787,0,0,0,Residential
14,Approved,One Property,0,1,0,0,43.71391132307693,-79.42923247692308,North York Community Council,48134,0,0,0,Residential
15,Approved,One Property,1,0,0,0,43.78499907846092,-79.26717462011882,Scarborough Community Council,31825,0,0,0,Residential
16,Denied,One Property,0,1,0,0,43.724992,-79.2406629,Scarborough Community Council,44718,0,0,0,Residential
17,Approved,More Than One Property,0,0,0,1,43.6679483,-79.3692527,Toronto and East York Community Council,63012,0,1,0,Commercial Residential
18,Approved,More Than One Property,0,0,0,1,43.75332552,-79.44959093,North York Community Council,45936,1,0,0,Residential Apartment
19,Denied,One Property,0,1,0,0,43.67608195714286,-79.3969585,Toronto and East York Community Council,112766,0,0,1,Commercial Residential
20,Approved,One Property,1,0,0,0,43.7133361,-79.3462801,North York Community Council,28875,0,0,0,Employment Industrial
21,Denied,One Property,0,0,1,0,43.645635,-79.52660814135172,Etobicoke York Community Council,52787,1,0,0,Commercial Residential
22,Approved,More Than One Property,0,0,1,0,43.67453525,-79.4089132,Toronto and East York Community Council,112766,0,1,0,Employment Industrial
23,Approved,One Property,0,0,0,1,43.6000322,-79.5316373,Etobicoke York Community Council,47709,0,0,0,Employment Industrial
24,Denied,One Property,0,1,0,0,43.59060938609301,-79.52371991659962,Etobicoke York Community Council,47384,0,0,0,Residential
25,Approved,One Property,1,0,0,0,43.7945821,-79.4027357,North York Community Council,45212,0,0,0,Residential
26,Denied,One Property,0,1,0,0,43.68107526,-79.42936134,Toronto and East York Community Council,54460,0,1,1,Commercial Residential
27,Approved,One Property,0,1,0,0,43.7704648,-79.1777115,Scarborough Community Council,33323,0,0,0,Residential
28,Approved,More Than One Property,0,0,0,1,43.67740441428572,-79.30255349285714,Toronto and East York Community Council,92580,0,0,0,Residential
29,Denied,One Property,0,1,0,0,43.59945612857143,-79.5242002,Etobicoke York Community Council,47384,0,0,0,Residential
30,Approved,One Property,0,0,0,1,43.70995809999999,-79.39451466058757,Toronto and East York Community Council,57039,1,0,0,Residential
31,Approved,One Property,1,0,0,0,43.608837525,-79.4935409875,Etobicoke York Community Council,54438,0,0,0,Residential
32,Approved,More Than One Property,0,0,1,1,43.6646911,-79.48098788916948,Toronto and East York Community Council,49709,0,0,0,Residential
33,Approved,One Property,1,0,0,0,43.75202,-79.333084,North York Community Council,42516,0,0,0,Residential Apartment
34,Approved,One Property,1,0,0,0,43.6059514,-79.5372705,Etobicoke York Community Council,47709,0,0,0,Residential
35,Denied,More Than One Property,0,0,1,0,43.6885785,-79.29671426419729,Toronto and East York Community Council,54324,0,0,0,Employment Industrial
37,Denied,One Property,0,1,0,0,43.7432464,-79.4148042,North York Community Council,123077,0,0,0,Residential
38,Approved,One Property,0,0,0,1,43.7711681,-79.2650736,Scarborough Community Council,33256,0,0,0,Employment Industrial
39,Approved,More Than One Property,0,1,0,0,43.7073677,-79.3755875,North York Community Council,125564,0,1,0,Commercial Residential
40,Approved,More Than One Property,0,0,0,1,43.6709572,-79.3108402,Toronto and East York Community Council,55199,0,0,0,Residential
41,Denied,One Property,0,1,0,0,43.634474,-79.48628993573448,Etobicoke York Community Council,64140,0,0,0,Residential
42,Approved,More Than One Property,1,0,0,0,43.59690911111111,-79.52873015555555,Etobicoke York Community Council,47384,0,0,0,Residential
43,Approved,One Property,0,0,0,1,43.6712195,-79.3414664,Toronto and East York Community Council,48511,0,0,0,Residential
44,Denied,More Than One Property,0,0,1,0,43.7649293,-79.3878775,North York Community Council,45326,1,0,0,Residential
45,Approved,One Property,1,0,0,0,43.75743325151515,-79.4143676,North York Community Council,72371,0,0,0,Residential
