,Status,Number_of_Properties,Consent,Minor Variance,Official Plan Rezoning,Site Plan Application,Secondary_Plan,Average_Income,Etobicoke York Community Council,North York Community Council,Scarborough Community Council,Toronto and East York Community Council
0,1,0,0,0,1,0,0,64140,1,0,0,0
1,1,0,0,0,0,1,0,112766,0,0,0,1
2,1,0,1,0,0,0,0,52787,1,0,0,0
3,1,0,0,1,0,0,0,42516,0,1,0,0
4,1,0,0,0,0,1,1,67757,0,1,0,0
5,1,0,0,1,0,0,1,85340,0,1,0,0
6,1,1,0,0,0,1,0,65274,0,0,0,1
7,0,0,0,0,1,0,1,30878,0,0,1,0
8,0,0,0,1,0,0,0,47709,1,0,0,0
9,0,0,0,1,0,0,1,85340,0,1,0,0
11,0,0,0,1,0,0,0,31771,1,0,0,0
12,0,0,1,1,0,0,0,308010,0,1,0,0
13,0,0,0,1,0,0,0,52787,1,0,0,0
14,1,0,0,1,0,0,0,48134,0,1,0,0
15,1,0,1,0,0,0,0,31825,0,0,1,0
16,0,0,0,1,0,0,0,44718,0,0,1,0
17,1,1,0,0,0,1,0,63012,0,0,0,1
18,1,1,0,0,0,1,1,45936,0,1,0,0
19,0,0,0,1,0,0,0,112766,0,0,0,1
20,1,0,1,0,0,0,0,28875,0,1,0,0
21,0,0,0,0,1,0,1,52787,1,0,0,0
22,1,1,0,0,1,0,0,112766,0,0,0,1
23,1,0,0,0,0,1,0,47709,1,0,0,0
24,0,0,0,1,0,0,0,47384,1,0,0,0
25,1,0,1,0,0,0,0,45212,0,1,0,0
26,0,0,0,1,0,0,0,54460,0,0,0,1
27,1,0,0,1,0,0,0,33323,0,0,1,0
28,1,1,0,0,0,1,0,92580,0,0,0,1
29,0,0,0,1,0,0,0,47384,1,0,0,0
30,1,0,0,0,0,1,1,57039,0,0,0,1
31,1,0,1,0,0,0,0,54438,1,0,0,0
32,1,1,0,0,1,1,0,49709,0,0,0,1
33,1,0,1,0,0,0,0,42516,0,1,0,0
34,1,0,1,0,0,0,0,47709,1,0,0,0
35,0,1,0,0,1,0,0,54324,0,0,0,1
36,1,0,1,0,0,0,1,58915,0,0,0,1
37,0,0,0,1,0,0,0,123077,0,1,0,0
38,1,0,0,0,0,1,0,33256,0,0,1,0
39,1,1,0,1,0,0,0,125564,0,1,0,0
40,1,1,0,0,0,1,0,55199,0,0,0,1
41,0,0,0,1,0,0,0,64140,1,0,0,0
42,1,1,1,0,0,0,0,47384,1,0,0,0
43,1,0,0,0,0,1,0,48511,0,0,0,1
44,0,1,0,0,1,0,1,45326,0,1,0,0
45,1,0,1,0,0,0,0,72371,0,1,0,0
46,0,0,0,1,0,0,0,71204,0,0,0,1
47,1,0,0,1,0,0,0,34768,0,1,0,0
48,0,0,0,1,0,0,0,44718,0,0,1,0
49,0,0,0,1,0,0,0,308010,0,1,0,0
50,1,0,1,0,0,0,0,39556,0,0,1,0
52,1,0,0,1,0,0,0,44576,0,1,0,0
53,0,0,0,1,0,0,0,111730,0,1,0,0
54,1,1,0,0,0,1,0,36232,0,0,1,0
55,0,0,0,1,0,0,1,85340,0,1,0,0
56,1,1,1,0,0,0,0,28085,0,0,1,0
57,1,0,1,0,0,0,0,34059,1,0,0,0
58,1,0,1,0,0,0,0,34059,1,0,0,0
59,0,1,0,1,0,0,0,52787,1,0,0,0
60,0,0,0,1,0,0,0,51181,0,1,0,0
61,0,0,0,1,0,0,0,47384,1,0,0,0
62,0,0,0,1,0,0,0,50694,0,0,0,1
63,1,0,1,0,0,0,0,32483,1,0,0,0
64,1,0,0,0,0,1,0,165047,0,0,0,1
65,1,0,0,0,0,1,1,72371,0,1,0,0
66,1,0,0,0,0,1,0,30731,1,0,0,0
67,1,0,0,0,0,1,1,29958,1,0,0,0
68,0,1,0,0,1,0,0,52787,1,0,0,0
69,0,0,0,1,0,0,0,112766,0,0,0,1
70,1,0,0,1,0,0,0,65274,0,0,0,1
71,1,0,0,0,0,1,0,30827,1,0,0,0
72,0,0,1,1,0,0,0,92580,0,0,0,1
73,0,0,1,1,0,0,0,92580,0,0,0,1
74,0,1,0,0,1,0,1,57039,0,1,0,0
75,1,0,0,1,0,0,0,37422,0,0,0,1
76,0,1,0,0,1,0,0,35047,0,0,1,0
77,0,0,0,1,0,0,0,46206,0,0,0,1
78,0,0,0,1,0,0,0,31771,1,0,0,0
